epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,349.455,1.12874,2.76839,1.43017,0.8219,0.80635,0.88745,0.72863,0.57265,0.92283,1.00009,0.0099899,0.00332997,0.0099899,0.00332997,0.0099899,0.00332997,0.0099899,0.00332997
2,634.591,1.06787,1.65576,1.35892,0.89994,0.82972,0.92802,0.69869,0.92543,0.73869,1.27263,0.0195941,0.00653137,0.0195941,0.00653137,0.0195941,0.00653137,0.0195941,0.00653137
3,900.104,1.11944,1.43047,1.38927,0.88176,0.85017,0.93504,0.7182,0.82507,0.7552,1.16865,0.0288023,0.00960077,0.0288023,0.00960077,0.0288023,0.00960077,0.0288023,0.00960077
4,1157.84,1.11013,1.32027,1.38112,0.93055,0.91225,0.95958,0.64578,1.14748,0.64845,1.37298,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1416.23,1.03014,1.15834,1.32442,0.87601,0.86946,0.94352,0.79909,0.59125,0.6054,1.02401,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1674.91,0.97824,1.082,1.29363,0.93572,0.9134,0.96894,0.83233,0.54967,0.44693,0.97517,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1934.47,0.93957,1.0204,1.26543,0.95218,0.9538,0.98717,0.88367,0.44413,0.37628,0.91048,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2193.66,0.92251,0.983,1.2532,0.96509,0.96809,0.98844,0.86085,0.53961,0.38174,0.95985,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2451.9,0.88739,0.94286,1.23191,0.96922,0.96621,0.9882,0.90504,0.40391,0.32904,0.87772,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2710.89,0.87304,0.91638,1.22132,0.9683,0.96654,0.98681,0.90153,0.406,0.31992,0.88688,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2968.33,0.85992,0.89034,1.21563,0.98088,0.97185,0.99035,0.91181,0.39728,0.28707,0.87472,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3224.52,0.84775,0.87419,1.20632,0.9781,0.97868,0.99113,0.92022,0.38026,0.29027,0.87165,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3479.77,0.83256,0.85196,1.20025,0.97366,0.97572,0.99172,0.91457,0.39454,0.28706,0.87028,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3734.68,0.8125,0.8243,1.18474,0.9826,0.98606,0.99266,0.92249,0.36992,0.26401,0.85693,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3988.98,0.8089,0.82172,1.18591,0.98369,0.97847,0.99222,0.92925,0.35212,0.26246,0.84988,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4244.97,0.79865,0.80939,1.17982,0.98289,0.98437,0.99168,0.92799,0.35488,0.24954,0.8508,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4500,0.79199,0.79154,1.17222,0.98311,0.98722,0.99207,0.93233,0.35841,0.24666,0.85445,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4754.75,0.77721,0.78313,1.16862,0.98825,0.98728,0.99357,0.93549,0.34525,0.2414,0.85139,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5010.4,0.77252,0.76777,1.16348,0.98536,0.98602,0.99272,0.9335,0.34241,0.24241,0.84787,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5265.68,0.76791,0.77169,1.16348,0.98679,0.98927,0.99334,0.93487,0.34915,0.24108,0.85085,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5520.13,0.75513,0.7511,1.15676,0.98918,0.98824,0.993,0.94009,0.33312,0.22777,0.84068,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5774.35,0.74852,0.73843,1.1501,0.98419,0.98461,0.99306,0.9437,0.32576,0.22364,0.83805,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6027.99,0.74555,0.73209,1.14732,0.98655,0.98944,0.99391,0.94508,0.32703,0.21836,0.83815,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6281.78,0.73639,0.72556,1.14426,0.98921,0.98837,0.99341,0.94455,0.32408,0.21354,0.83416,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6535.33,0.73068,0.72124,1.14306,0.99134,0.98803,0.99379,0.94498,0.31953,0.20826,0.83391,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6789.26,0.72362,0.70993,1.13799,0.98584,0.99272,0.99389,0.94879,0.31478,0.2022,0.83054,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7043.05,0.72003,0.70431,1.13499,0.9911,0.98865,0.99382,0.94804,0.31141,0.20417,0.82973,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7296.83,0.71246,0.70289,1.13127,0.99182,0.99027,0.99403,0.94996,0.30678,0.19755,0.82647,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
